question,answer
한동안 일이 바빠서 삶의 여유가 없었는데 얼마나 행복했는지 몰라요. 게다가 노래방에 그 노래가 나와서 따라 불렀더니 더할 나위 없는 행복이 찾아오네요.,최근에 회사에서 중요한 프로젝트를 맡아서 밤 낮 할 거 없이 정말 노력 했잖니. 그 프로젝트를 성공리에 마치고 싶다는 너의 의지가 진짜 기특 했단다. 일에 열정적으로 성실한 네가 정말 자랑스러워.
아빠가 그렇게 칭찬해주시니 더 기분이 좋아집니다. 집에 가는 발걸음조차 가벼워져요. 콧노래를 연신 흥얼거리면서 가는 중이에요.,나 같아도 좋아하는 가수의 앨범이 나오면 열심히 들어본 다음에 노래방으로 달려갈 거야. 달려가서 앨범 수록곡을 혼자서 즐기면서 기뻐할 것 같아. 그래서 우리 아들의 심정이 충분히 이해되고 공감이 가는 구나.
제 마음이 딱 그 심정이에요! 아빠가 제 마음을 딱 알아채 주니까 정말 더 기쁘고 행복하네요.,진짜 좋아하는 음악을 즐기고 싶을 때는 노래방에서 같은 곡을 반복해서 부르고 싶을 때도 있잖아. 왠지 지금 네가 딱 그런 마음일 거 같아. 우리 아들이 스트레스가 해소되었다니 아빠는 다행이라고 생각해.
아빠가 자신의 일처럼 기뻐해 주고 반응해 주니까. 저도 더 기쁘고 행복하네요.,우리 아들의 행복이 곧 아들의 행복이지. 어떤 노래인지 아빠도 들어보고 싶구나. 집에 도착해서 들려주렴!
"할머니, 저 정말 기쁜 일이 있어요. 제가 대학교 입학해서 과외를 하잖아요. 그런데 이번에 한 친구가 더 하기로 했어요.",그거 정말 잘된 일이구나. 등록금 때문에 고민을 많이 했는데 네가 등록금 부담이 덜겠어. 정말 기쁜 소식이다.
원래 가르쳤던 친구는 성적이 많이 낮았거든요. 그런데 제가 가르치게 되면서 이번에 등수가 엄청 높아졌어요. 그래서 다른 어머니도 저에게 연락하셔서 과외를 해 달라고 부탁하셨어요.,어떻게 가르쳤길래 학생이 점수가 많이 오를 수 있니. 그렇게 결과가 나오면 부모님들 사이에서는 소문이 날 수밖에 없지. 정말 열심히 했나 보구나.
아무래도 돈을 받는 일이잖아요. 그 부모님도 정말 힘들게 자녀를 위해 돈을 벌으셨을 텐데 제가 대충해서 가르치면 안 되죠. 그래서 교재 공부도 열심히 하고 과외 시간 외에도 잘 봐줬어요.,정말 최선을 다해서 가르쳤다는 게 멋있구나. 요령을 피우지 않고 성실하게 가르친 것 같아 대견스럽다. 네 학생도 그 행동을 보고 배울 거야.
학생이랑 유대관계를 돈독히 하려고 애썼어요. 제가 우선 친근해야 학생이 질문하기도 편할 것 같았거든요. 좀 친해지니까 질문을 쉽게 하더라고요.,질문은 공부에 있어서 가장 좋은 점이지. 너도 예전에 학교에서 엄청 질문을 많이 했잖니. 별명이 아마 질문 여왕이었지.
"할머니, 기억하시네요. 예전에 학교에서 제가 질문을 너무 많이 해서 생긴 별명이었죠. 그런데 무작정 질문하지 말고 생각을 해보고 질문하는 습관이 중요하단 걸 깨달았어요. 앞으로 아이들에게도 그런 점을 가르치려고요.",아주 좋은 선생님이다. 너처럼 좋은 과외 선생님을 만나는 것은 그 친구들에게 행운이라고 생각한다. 선생님으로서 아이들을 사랑하고 최선을 다하려는 좋은 자질을 가지고 있어.
그렇게 말해주시니까 정말 감사하네요. 할머니가 칭찬을 해주시니까 더 잘한 것 같고 정말 기뻐요. 더 잘해서 또 다른 학생도 맡고 싶어요.,항상 최선을 다해서 열심히 하다 보면 좋은 일이 생길 거다. 너는 칭찬할 것 밖에 없어. 항상 똑 부러지고 열심히 네 할 일을 잘하니까 할머니가 걱정이 없다.
"할머니, 저도 할머니에게 고마움만 가득해요. 이렇게 항상 제 이야기를 들어주시고 응원해 주시니까 제가 힘이 더 나는 것 같아요. 정말 감사해요.",등록금을 버느라 정말 고생이 많아. 대학교에 다니는 동안 학교 공부도 열심히 하고 일도 잘 해내는 것이 어렵잖니. 할머니가 옆에서 항상 응원하마.
엄마 오늘 회사 직원들과 승진 기념 파티를 했어요. 제가 승진한 기념으로 한턱을 냈거든요. 너무 신나고 기뻐서 아직도 심장이 터질 것 같아요.,작년 승진 시험에서 떨어지고 실망이 큰 것 같아서 걱정을 많이 했는데. 이번에는 드디어 해냈구나! 정말 장하다 역시 우리 아들이야.
제 월급의 거의 반을 쓴 것 같은데 정말 하나도 아깝지 않아요. 회사에 들어온 이후로 가장 기분이 좋은 날 이었어요.,잘했다. 그동안 너를 많이 도와주신 분들인데 당연히 네가 감사의 인사를 드려야지. 너도 이제 사회생활을 좀 알게 된 것 같아서 마음이 놓이는구나.
맞아요. 그분들이 아니었으면 이번에는 승진하기 힘들었을 거예요. 업무도 잘 가르쳐 주시고 언제나 격려해 주셨어요. 정말 감사하신 분들이에요.,"사회생활을 하게 되면 돈보다 사람이 재산이 되는 경우가 많아. 언제나 겸손하고 성실하게 생활해야 해, 네가 잘 알아서 하겠지만. 엄마는 아직도 네가 어린아이같이 느껴질 때도 있단다, 기분 나쁘게 생각하지 않았으면 좋겠어."
"엄마가 저를 얼마나 사랑하고 계시는지 너무 잘 알아요, 전혀 기분 나쁘지 않아요. 엄마 말씀대로 겸손하게 생활하려고 노력하고 있어요. 이제 제 걱정은 하지 않으셔도 됩니다.",너는 어릴 때부터 다른 아이들보다 승부 욕도 강하고 도전하기좋아해서. 혹시 마음의 상처를 입지 않을까 염려되기도 했었어. 하지만 한 번도 약한 모습을 보인 적 없이 잘 지내 주어서 정말 고마웠다.
"엄마는 제가 잘못하거나 실수할 때도 언제나 꾸짖지 않으시고. 진심 어린 조언과 격려를 해 주셨잖아요, 제 자존감의 원천은 엄마에요. 모든 건 엄마의 격려 덕분이에요.","네가 그렇게 생각하고 있었다니 정말 감동적이구나, 힘들었던 모든 일들이 눈 녹듯 사라지는 기분이야. 앞으로도 조급하게 생각하지 말고 천천히 한 걸음씩 너의 길을 가길 바란다. 넌 분명히 잘 해낼 수 있을 거야."
"저를 위해 기도해 주시는 엄마가 계시니 어떤 어려움이 와도 이겨낼 수 있을 것 같아요. 최선을 다해서 열심히 살게요, 지켜봐 주세요.","회사분께는 한턱을 냈으니, 이번 주말에는 집에 내려와서 승진기념 가족 파티를 하자꾸나. 엄마가 맛있는 음식 많이 준비해 놓고 기다리고 있을게."
"너무 좋아요, 저도 오랜만에 엄마가 해 주신 집밥을 먹고 싶네요. 주말 아침 일찍 출발할게요. 제가 항상 감사하게 생각하는 거 아시죠? 엄마 사랑합니다!","주말에 너를 만날 생각을 하니 벌써가슴이 설레는구나, 네가 언제나 행복했으면 좋겠어. 사랑한다, 우리 아들!"
"엄마, 어느덧 결혼한 지 벌써 20주년인 거 있죠. 시간이 이렇게 훌쩍 지나가 버리다니, 너무 신기하고 기뻐요.",20년 동안 무탈하게 잘 지낸 것도 복이지. 기뻐하는 널 보니 엄마도 행복하구나.
그래서 20주년을 맞아서 둘만의 여행을 계획하고 있어요. 남편이랑 둘이서 여행 간 게 언젠지 기억도 안 날 정도로 까마득하거든요. 그런데 이렇게 특별한 날을 맞아 떠날 생각 하니 너무 신이 나요.,"네가 결혼하면서 엄마 품을 떠난 게 아직도 엊그제 같은데 벌써 20주년이라니. 세월의 빠름에 정말 놀라우면서도 한편으론 정말 기쁘구나. 둘만의 여행이라니, 간만이니까 더욱 기대되고 신이 나겠다."
게다가 늘 무뚝뚝하고 표현에 인색한 남편이 먼저 제안한 거라서 더 의미 있어요. 이번 결혼기념일도 그냥 소소하게 챙기고 말아야지 생각했거든요. 그런데 둘만의 여행이라니 너무 기뻐요.,"그런 남편의 성향을 재촉하지 않고 이해하고 온전히 받아들인 네 역할이 크단다. 남편이 변화한 건 네 노력이 큰 걸, 스스로 자부심을 가져도 된단다. 그리고 마음껏 기뻐하고 충분히 누리렴, 너무 좋은 일이잖아."
"비록 무뚝뚝한 남편이지만 저를 사랑해주는 걸 알고 있고, 느껴져서 개의치 않았거든요. 그런데 이렇게 먼저 특별한 날을 기념하자고 말해주니까 진짜 기뻐요.","그 마음이 분명 네 남편에게도 전해졌고, 그런 마음에 보답해주고 싶다는 생각이 들게 만들었을 거야. 그리고 남편에게도 너와 함께한 20년은 기념할 만한 일이었던 거지. 너무 보기 좋은 부부구나, 입가에 절로 미소가 지어지네."
"어디로 갈지, 가서 뭘 할지, 하나하나 다 기대되고 설레서 신이 나요. 둘만의 어떤 추억을 만들어올지 궁금하고 마음이 붕 떠서 당장이라도 날아갈 것 같아요.","결혼 생활하면서 분명 어려운 일도, 맞지 않는 일도 있어서 힘든 날도 있었을 텐데. 둘이기에 함께 이겨나가서 어느덧 이렇게 오랜 세월 동안 멋지게 익은 모습을 보니 대견해."
남편 덕분에 특별한 날이 더 특별해져서 벌써 흥분되고 기뻐요. 이 사람과 결혼하길 잘했다는 생각이 저절로 드네요.,네가 그런 마음이 든다니 엄마도 더할 나위 없이 기쁘구나. 특별한 날이니만큼 최고로 행복한 하루를 보내고 오렴. 무얼 하든 네 남편과 함께하니까 다 신이 나고 기쁠 거야.
"엄마가 이렇게 제 마음을 알아주고, 함께 기뻐해 주니까 마음이 더 든든하네요. 고마워요, 엄마.","우리 딸에게 좋은 일은 엄마에게도 좋은걸. 20년 동안 단란하고, 예쁘게 살아줘서 엄마가 더 고마워. 앞으로도 서로를 믿으면서 지금의 마음으로 함께 어려움도 해쳐 나가면 좋겠구나. 엄마가 응원할게."
"엄마, 듣고 깜짝 놀라지 말아요. 저 너무 기쁘고 행복해서 지금 당장 죽어도 여한이 없을 정도예요.","우리 딸에게 무슨 일이 있었길래 이렇게 좋아하는 거야? 엄마에게 알려주렴, 같이 기뻐하고 싶구나."
"결론만 말하자면, 엄마, 저 프러포즈 받았어요. 남자친구가 결혼하자고 했어요. 너무 기뻐서 날아갈 것 같아요, 행복이 이런 느낌일까요.","아직 엄마에게는 마냥 어리기만 한 우리 딸이 어느새 결혼을 앞두는 어른이 되었다니. 엄마 마음도 너무 기쁘구나. 네 행복은 엄마의 행복이기에 지금, 이 순간 엄마도 기쁨이 벅차오르는 것 같아."
"남자친구가 꽤 오래 공무원 시험 준비를 했었잖아요. 낙방할 때마다 괜찮다고 다음엔 될 거라고 응원했지만 사실 저도 좀 힘들었거든요. 그런데 시험 합격하자마자 이렇게 저에게 프러포즈를 하다니, 남자친구가 정말 고마워요.",짧다면 짧을 수도 있지만 삼 년이라는 긴 시간 동안 네가 얼마나 마음고생했는지 엄마는 알잖니. 그래서 그 프러포즈가 네게 어떤 의미인지 짐작이 가서 엄마도 너무 행복하고 좋구나. 그리고 열심히 노력해서 믿어준 네 마음을 배신하지 않은 네 남자친구에게 고맙기도 해.
"제가 애쓰고 노력했던 것들이 헛수고가 아니고, 남자친구를 믿고 끝까지 기다렸던 게 맞았다는 확신에 기뻐요. 그리고 그런 노력을 잊지 않고 기억해서 저에게 평생을 바치려는 남자친구가 정말 고맙고요.",물론 남자친구도 고생했지만 공부하는 사람을 옆에서 지켜보는 건 정말 힘든 일이잖아. 그 힘든 일을 담대하게 해내가고 묵묵히 나아간 너 자신을 좀 더 칭찬해주고 다독여주렴.
하나둘 시집·장가가는 친구들을 보면서 나는 언제쯤 할 수 있을까 막막했던 적도 있었어요. 그래도 남자친구에 대한 믿음 하나로 끝까지 기다리고 버텼는데. 그 결실이 이렇게 맺어져서 너무 행복해요.,"달라지는 주변 환경 때문에 조바심이 나고 조급해질 수도 있기 마련인데. 네가 한 선택에 대해 힘들고, 어렵지만, 끝까지 책임지기 위해 버티고, 견뎌낸 네가 참 대견하다. 이 결실은 네 노력의 결과이고 열매란다, 자부심을 가져도 돼."
프러포즈를 하면서 저에게 쓴 편지를 읽어주는데 기쁨의 눈물이 쏟아졌어요. 부족한 자신을 믿고 기다려주고 응원해줘서 고맙다고 했어요. 공부하느라 힘들고 예민할 텐데도 끝까지 저를 놓지 않아 준 남자친구가 고마운 건 오히려 저인데 말이에요.,"당연하다고 생각하지 않고, 남자친구에게 감사할 줄 아는 네 마음이 참 예쁘다. 그런 너이기에 네 남자친구도 평생을 함께하고 싶다는 마음을 가졌을 거야. 이렇게 세심하고 사려 깊은 너를 누가 사랑하지 않을 수가 있겠니."
"엄마가 이렇게 제 이야기를 진심으로 들어주고 축하해줘서 더 기뻐요. 저에겐 소중한 사람들이 정말 많다는 생각이 들면서 또 감사한 마음이 밀려오네요. 이렇게 기쁜 소식을 절 키워준 엄마에게 가장 먼저 전하고 싶었어요. 고마워요, 엄마.","우리 딸에게 이렇게 좋은 소식을 엄마에게 가장 먼저 알려줘서 엄마도 정말 고맙고 기쁘단다. 앞으로 살면서 더 힘든 일, 어려운 일도 있겠지만 둘이라면 잘 견뎌낼 수 있을 거야. 그리고 항상 뒤에는 널 지지하는 엄마가 있다는 걸 잊지 말고, 행복하게 살아."
"엄마, 나 오늘 내가 좋아하는 회사 동료랑 브런치 같이 먹고 와서 너무 행복해.",안 그래도 아침을 못 먹고 가서 어쩌나 걱정했는데. 좋아하는 사람과 브런치를 먹었다니 엄마도 마음이 놓인다.
오늘 지방 행사가 크게 있어서 사무실을 지키는 인원이 적거든. 여유가 있으니 1층 라운지에서 브런치를 먹자고 제안해 주셔서 날아갈 듯이 기뻤어.,여러모로 너를 위한 타이밍이었네. 내 일이라고 생각하니까 푼수처럼 엄마도 마음이 몽글몽글 설레는 것 같아.
이렇게 단둘이 식사를 한 건 처음이라 나도 너무 설렜어. 매너가 어찌나 좋으시던지 가만 있어도 마음이 편안하더라.,이렇게 사랑에 빠진 모습은 오랜만이라 엄마도 흐뭇하다. 회사에서도 소소한 설레임과 즐거움이 있다는 게 참 힘이 될 것 같아.
이분이 우리 회사에 오신 뒤로 확실히 업무 스트레스가 줄었긴 하지. 역시 사랑의 힘은 무적인 것 같아. 오늘 일로 한 달은 거뜬하겠어.,일을 놓치지 않으면서도 네 감정에 충실한 삶을 살고있는 것 같아 대견하다. 엄마는 너처럼 다채롭게 인생을 즐기지는 못했거든. 현명하게 하루하루를 꾸려나가고 있는 것 같아 보기 좋아.
나를 그렇게 생각해주고 있었다니 감동이야 엄마. 나도 한 번 사는 인생 최대한 즐기고 싶어졌거든. 오늘만 느낄 수 있는 감정도 있는 거니까.,"맞아, 오늘은 네가 충만한 기쁨을 느낄 수 있는 날인 것처럼. 그 동료 분과도 앞으로 더 좋은 관계로 발전했음 좋겠다."
나도 그러길 바라. 그래도 이번에 브런치를 같이 먹었으니까 다음은 더 수월하지 않을까. 희망을 갖고 지내려고.,역시 우리 딸은 기대가 특기라니까. 그렇게 밝은 미래를 조망하고 있으니 분명 좋은 날도 이끌려 찾아올 거야.
격려해 줘서 고마워. 아침 못 먹었다고 걱정하고 있을 것 같아서 안심하라고 말해줄 겸 연락한 거야. 나는 지금 너무 행복하니까 걱정 마.,배도 부르고 마음도 부른 것 같아 엄마도 걱정 안 해. 남은 일도 파이팅하고 조심해서 와.
"엄마, 이번에 주전 선수의 대리로 경기에 출전하게 됐어요! 항상 보결로 벤치에 앉아 모두를 지켜보기만 했었는걸요. 직접 뛸 수 있게 돼서 너무나 기뻐요!","축하한다, 그렇게 노력하더니 드디어 네 실력을 보여줄 귀중한 기회를 잡았구나! 이번 경기를 시작으로 이제 날아오를 날만이 남았어!"
"코치님도 그렇게 말씀해주셔서 정말 기뻤어요! 늘 엄격하신 분이셨는데, 저라면 잘할 거라고 믿어주셔서 너무 기분이 좋아요!",늘 무섭게 혼내기만 했던 코치에게 마침내 따뜻한 인정과 격려를 받아 네가 얼마나 기쁠까! 누가 보지 않아도 매일 새벽부터 밤까지 끊임없는 노력을 거듭한 너잖니. 코치에게 인정받은 건 운이 아닌 온전한 너의 피땀 어린 노력의 성과야!
그래도 너무 기쁜 나머지 너무 제 자랑만 한 것 같아 민망하네요. 겨우 대리 선수로 첫 출전인걸요.,"아니야, 이 작은 기회가 너에게 얼마나 간절했는지 알고 있어. 너도 할 수 있는데 가만히 벤치에서 바라보기만 해야 하는 처지에 아주 답답했고 좌절했을 거야. 나였더라도 그 기다림의 끝이라는 희망을 발견했을 때 기쁨을 주체하지 못했겠지!"
하지만 제게 주어진 이 기회는 누군가의 부진이나 불운이나 마찬가지인걸요. 제가 이렇게 기뻐하는 모습을 보고 오해할지도 몰라요.,그 선수도 너와 같은 기회를 잡고 현재 위치까지 올라왔을 텐데 이해해줄 거야. 오히려 네가 대신하는 선수를 위해서라도 더 노력하겠다고 생각해 보렴. 네 죄책감과 부담감이 줄어들고 마음이 한결 가벼워질 거야.
내일 있을 경기는 시즌 우승에 영향을 미치는 중요한 경기예요. 많은 팬이 지켜보는 와중에 제 활약으로 팀 우승으로 기여할 수 있다니 상상만으로 기대돼요! 하지만 기쁜 동시에 너무 떨리고 긴장되기도 하네요.,"처음엔 누구나 긴장하는 법이고, 또 긴장하는 게 나쁜 건 아니야! 넌 이런 큰 경기가 곧 일상이 될 테니 지금의 느낌이 오히려 귀하지 않겠어?"
그렇게 됐으면 정말 좋겠어요! 동경하던 선수들과 함께 뛰는 나날이 일상이 된다면 정말 기쁠 거예요!,늘 정진하는 너도 머지않아 그들처럼 누군가의 동경의 대상이 될 거야. 어린이들이 너처럼 되고 싶단 꿈을 꾸게 되겠지. 이미 우리 가족들에게는 누구보다 빛나는 스타지만 말이야.
"고마워요, 엄마의 칭찬을 듣고 있으면 쑥스러우면서도 참을 수 없이 기뻐져요! 마음 한구석의 긴장과 불안이 엄마의 신뢰와 응원에 어느새 눈 녹듯이 사라지거든요. 그리고 모두 잘 될 거란 희망만이 남아 제 마음을 따뜻하게 해줘요.",우리 아들이 기분이 좋으면 엄마도 정말 기쁘단다. 살면서 많은 것을 겪어본 엄마는 이제 네 행복 이외에 더는 바라는 것이 없어. 너는 엄마의 자랑이고 사랑이야.
"엄마, 저 내일이면 고대하던 동창회 날이에요. 오랜만에 친구들 볼 생각하니까 너무 신나고 기뻐요.",엄마도 동창회만 앞두면 그렇게 마음이 설레더라. 그렇게 좋아하는 걸 보니 안부가 궁금한 사람이 있는 모양이구나.
첫사랑이었던 친구도 나온다고 들었거든요. 그때는 단발머리가 잘 어울리는 소녀였는데 어떻게 변했을지 궁금해요. 여전히 웃는 게 밝은 친구일 것 같아서 떨리네요.,네가 첫사랑 열병을 앓았던 때가 엄마도 기억이 난다. 여전히 좋은 추억으로 간직하고 있는 것 같아 흐뭇하네.
저도 많이 서툴렀을 때니까요. 그렇게 누군가를 좋아해 본 적은 지금까지도 없었던 것 같아요. 무언갈 기대하는 건 아니지만 그냥 다시 만날 생각에 행복한 것 같아요.,첫사랑과의 재회를 앞둔 네 마음이 얼마나 떨릴지 상상도 안 가. 이렇게 신이 난 모습은 처음 봐서 엄마도 행복할 뿐이야.
"제가 아버지 이직 따라 전학 가게 되면서 엉엉 울었던 거 기억하시죠? 그 친구를 더 못 본다고 생각하니까 그렇게 서러웠던 거거든요. 이제는 웃으며 얘기할 수 있는 일이지만, 그 설움마저 보상받는 느낌이에요.",네가 밤낮으로 울기만 해서 우리도 얼마나 마음이 아팠다고. 보상이 받는 느낌이라고 하니 마음이 놓이고 후련하다. 좋은 시간을 보내고 오렴.
"사실 이제 와 하는 얘기지만 전학 가서도 그 친구와 몇 번 연락을 더했었어요. 너무 거리가 멀어져서 만나지는 못했지만, 서로를 그리워하는 마음은 같았다고 생각해요. 잊었던 그때 마음이 생각나서 이렇게 신이 난 것 같아요.","그런 귀한 감정을 느낄 수 있는 일은 드물지. 네 인생에 그런 찬란한 시절이 있어서 엄마도 감사할 따름이야. 나도 한때는 너와 비슷한 기쁨을 알았는데, 괜히 덩달아 감동이 오는구나."
엄마도 비슷한 시절을 보내셨을 거라 생각해요. 못다 한 얘기가 너무 많아서 내일은 시간이 어떻게 가는지도 모를 거예요. 그러니 후회 없이 안부를 나누고 즐겁게 지내다 올래요.,네가 매사에 최선을 다하는 사람이라 모든 일에 후회가 남지 않는 것 같아. 엄마도 볼 때마다 놀라고 감탄하는 면이란다. 내일도 평소처럼만 한다면 충실하고 보람찬 시간을 보낼 수 있을 거라 믿어.
저를 그렇게 생각하고 계실 줄은 몰랐는데 새삼 감동이네요. 이제는 미련이 남는 행동은 하고 싶지 않거든요.,인생에서 그것보다 중요한 마음가짐은 없을 거야. 나도 내일 하루 설레며 기다리고 있어야겠다.
"아들, 내가 방금 보내준 사진 봤어? 초등학교를 졸업하는 우리 셋째 아들의 생일 선물로 이 선물을 주는 게 어떨까? 생일 선물을 고민하는 이 시간이 그 어느 때보다 참 행복하네!","역시 엄마의 센스는 최고예요! 막내동생이 벌써 초등학교를 졸업한다니, 시간이 정말 빨라요. 그리고 생일 선물을 마련하는 엄마가 얼마나 신나실지 그 마음이 제게도 느껴져서 행복해져요."
사실 걸음마도 겨우 떼던 아이가 벌써 초등학교를 졸업한다는 게 나도 믿기지 않아. 그저 건강하고 씩씩하게 잘 자라줘서 고마운 마음이 커! 그래서 셋째 아들의 이번 생일에는 더 특별한 선물을 하고 싶어.,엄마에게 정말 소중한 존재이기에 그 무엇보다 기억에 남을 선물을 하고 싶은 것이겠죠. 막내동생을 사랑하는 엄마의 모습이 참 따뜻하게 느껴져요! 좋은 선물을 해주고 싶은 마음도 멋지세요.
첫째 아들이 그렇게 말해주니 참 기쁘고 고맙네! 요즘에 셋째 아들에게 그림을 그리는 취미가 생겼으니까 미술용품과 함께 손편지를 주는 건 어떨까? 원하는 그림을 마음껏 그릴 수 있도록 좋은 도화지와 색이 많은 물감을 선물하고 싶어.,그 선물을 받은 막내동생이 정말 좋아하겠어요! 평소에 동생이 무엇을 좋아하는지 관심 있게 지켜보고 알아본 선물이니까 말이에요. 우리들이 무엇을 좋아하고 무엇에 관심 있는지 늘 사랑으로 지켜봐주셔서 감사해요.
너희들에게 좋은 엄마가 되고 싶어서 노력해왔던 내 지난날을 우리 아들이 알아봐줘서 정말 기쁘다! 한 번 쓰이고 버려질 선물이 아니라 추억이 될만한 선물로 무엇이 좋을지 오랫동안 고민했거든. 열심히 고민한 보람이 있는 것 같아서 지금 엄마의 마음이 큰 행복으로 가득해지고 있어.,정성과 진심으로 가득 적어 내린 손편지를 받으면 동생도 분명 큰 감동을 느낄 거예요. 진솔하고 솔직한 편지만큼 마음을 직접 전하는 데에는 좋은 선물이 없으니까 말이에요. 세상에서 단 하나뿐인 소중한 선물을 받고 좋아하지 않을 사람은 없어요.
"하루가 다르게 빠른 속도로 자라나는 막내아들과 너희들을 보고 있으면 참 대견해. 한편으로는 너희들에게서 내가 새롭게 발견하게 되는 모습도 많아져서 신기하기도 하지. 너희를 위해서라면 무엇이든 할 수 있는 기분이 드는데, 이게 바로 사랑이 아닐까 생각하게 되었어.","맞아요, 우리 세 형제는 어머니의 따뜻한 진심과 사랑이 느껴져서 매일이 행복해요. 저뿐만 아니라 동생들의 세계가 더욱 넓어지고 깊어질 수 있도록 곁에서 함께해주는 어머니께 감사해요. 아낌 없이 사랑을 주는 어머니의 모습을 보면서 저도 진실하게 사랑하는 방법을 배우게 돼요."
네 칭찬 덕분에 좋았던 기분이 더욱 좋네. 든든한 첫째 아들과 선물을 같이 고르니까 더 즐겁기도 하고 말이야. 셋째 아들이 이 선물을 받고 기뻐했으면 좋겠어.,"엄마가 이렇게 동생을 위해 고민하고 노력해온 것 자체가 이미 큰 선물이라고 생각해요. 분명 동생도 엄마의 사랑이 느껴지는 선물을 받고 마음에 들어 할 거예요! 그림을 그릴 때마다 엄마를 생각할 테니, 사실 그것은 사랑과 추억을 선물하는 것과 같은걸요."
그렇게 말해줘서 고마워. 네 응원 덕분에 셋째 아들에게 줄 편지도 잘 완성할 수 있을 것 같아. 내 진심과 사랑이 잘 전달될 수 있게끔 지금의 이 기쁜 마음으로 편지를 써봐야겠어!,"지금까지 제게 들려준 엄마의 진심과 사랑을 편지에 적어봐요! 사랑을 눌러 담을 편지를 받고 셋째 동생이 얼마나 행복할지, 벌써 눈앞에 그려져요. 자상하고 따뜻한 엄마가 제 곁에 계셔 주셔서 저는 정말 행복해요."
